period_start,period_end,status,calendar_days,settled_days,pending_days,unavailable_days,modeled_pnl,mean_day_modeled_pnl,worst_day_modeled_pnl,awarded_mw,placed_mw,fill_rate,proof_id
2026-04-27,2026-05-03,settled,7,7,0,0,-9057.25,-1293.8928571429,-19286.28,3040,3040,1,b8dd0a7027022f35b1675dc65d187e9e32e886c9ce8d9bcfe8dc8079e7100e1d
2026-05-04,2026-05-10,settled,7,7,0,0,10508.875,1501.2678571429,-20621.7425,3378,3680,0.9179347826,68c1d0d56d5061f3c800952489fcec22cd685edcb796f7677fec13da806bd69b
2026-05-11,2026-05-17,settled,7,7,0,0,17170.855,2452.9792857143,-9347.2275,4338,4960,0.8745967742,bd2d7ddf0697e8272de71296b5fa2f3e19c6c8b8b9dd0990fe1007eee4ed0679
2026-05-18,2026-05-24,settled,7,7,0,0,24167.0075,3452.4296428571,-235.235,4810,4960,0.9697580645,6320ec63a891652c81ceb768b0aa773ac79303f90df564ba6342783058d10fd6
2026-05-25,2026-05-31,settled,7,7,0,0,-17959.615,-2565.6592857143,-9135.515,5494,5600,0.9810714286,96a247b1ec1848c257c4dcfdc2e47365802c986df6f6a38e7a8661bd958420f8
2026-06-01,2026-06-07,settled,7,7,0,0,-1739.895,-248.5564285714,-10395.8825,4916,4960,0.9911290323,a494d584f92a10c9e80733316e01ba3c9679af65ca1779ef49a0aea031e3162a
2026-06-08,2026-06-14,settled,7,7,0,0,7867.64,1123.9485714286,-11885.3725,4521,4960,0.9114919355,fad50f6420025c7042b0b2105f71f077a832120ac4f2b733b9ed347414cf85ac
2026-06-15,2026-06-21,settled,7,7,0,0,26502.4875,3786.0696428571,-7980.045,5466,5600,0.9760714286,93485218c115f2f384bf490a9ced7af45227c08d50f8688745b1d9750e79c72c
2026-06-22,2026-06-28,settled,7,7,0,0,7388.115,1055.445,-4253.8875,5386,5600,0.9617857143,312132c3b4389bc05bf19dedd437b1b56674c739c05f31be93679fc5fa6bc0a2
2026-06-29,2026-07-05,settled,7,7,0,0,31269.3425,4467.0489285714,1985.125,5283,5600,0.9433928571,23775b81f3b3afbabf6ce14bfb94e06b94f76c296fd896e2e229200029555930
2026-07-06,2026-07-12,settled,7,7,0,0,2476.6,353.8,-6009.46,5333,5600,0.9523214286,57b0fa096fedd651e67d85fd3f3d21da83bc0b9575b0b4eee269477212669a4e
2026-07-13,2026-07-19,settled,7,7,0,0,16108.2825,2301.1832142857,-1613.2625,5588,5600,0.9978571429,fb30fdd077ffd1adf8c1b7215ac1aaeb55286da78ea9e5e0b0cfa963d7b9fbe8
2026-07-20,2026-07-26,settled,7,7,0,0,19567.465,2795.3521428571,-3846.01,4199,4320,0.9719907407,c05efa30609c26f70bcca1eda7d9d9558fc4a6d9db7cc092bbf0f39a067f5392
2026-07-27,2026-08-02,settled,7,7,0,0,7755.6725,1107.9532142857,-9548.14,4440,4960,0.8951612903,731a261e90aba5175f88706c044d67b82eb31dc09704adb7adcea8bb075fc3cb
2026-08-03,2026-08-09,settled,7,7,0,0,-13785.1625,-1969.3089285714,-14839.9625,5598,5600,0.9996428571,9f5091a4604e881870a2f7c075894e243e161feac02a255da164397d930c026a
2026-08-10,2026-08-16,settled,7,7,0,0,-6145.9675,-877.9953571429,-11650.7325,5426,5600,0.9689285714,6b7ff36625ff1c0a91de5daa763217ab8e4ee4d8ffe1246fa81d69ccfc719d12
2026-08-17,2026-08-23,settled,7,7,0,0,18979.3075,2711.3296428571,-362.745,3504,3680,0.952173913,2ed4a3764f3ac6d6c40b27ce74e8739ec03621de72624ac41baea17f73203331
2026-08-24,2026-08-30,settled,7,7,0,0,32751.9625,4678.8517857143,-648.68,4935,4960,0.9949596774,dffbe005f7b5ed24cf1a1081141a1afc8accb66872d422ace22deb1ab3877122
2026-08-31,2026-09-06,settled,7,7,0,0,26434.6225,3776.3746428571,-1487.8,5600,5600,1,299c0e5f215cd686f453d809292a5aa644320ef2a43931425eb0c3fb45500f1e
2026-09-07,2026-09-13,settled,7,7,0,0,18850.63,2692.9471428571,683.08,4914,5600,0.8775,5ced7eedf783e4691a3387e44654ceedbc1775c26f4234fc40eb43c236b932e7
2026-09-14,2026-09-19,pending,6,5,1,0,5406.74,1081.348,-4301.2425,3808,4000,0.952,342b0d4ab445838fcbb682dc586b87e3464178fcd23ac59b65899f64def2d16c
